amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price,flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars,demand,average_rating,price_difference
the boy in the striped pyjamas (definitions),by John Boyne,4.6,134.0,1862305277,350, ,1862305277,the boy in the striped pyjamas,83.0,372,4.5,217.0,4.55,22
"romancing the balance sheet: for anyone who owns, runs or manages a business",by Anil Lamba,4.5,156.0,9350294311,477,  Anil Lamba,9350294311,romancing the balance sheet,352.0,477,4.5,508.0,4.5,0
"romancing the balance sheet: for anyone who owns, runs or manages a business",by Anil Lamba,4.5,156.0,9350294311,477,  Anil Lamba,9350294311,romancing the balance sheet,352.0,477,4.5,508.0,4.5,0
"romancing the balance sheet: for anyone who owns, runs or manages a business",by Anil Lamba,4.5,156.0,9350294311,477,  Anil Lamba,9350294311,romancing the balance sheet,352.0,477,4.5,508.0,4.5,0
"romancing the balance sheet: for anyone who owns, runs or manages a business",by Anil Lamba,4.5,156.0,9350294311,477,  Anil Lamba,9350294311,romancing the balance sheet,352.0,477,4.5,508.0,4.5,0
"romancing the balance sheet: for anyone who owns, runs or manages a business",by Anil Lamba,4.5,156.0,9350294311,477,  Anil Lamba,9350294311,romancing the balance sheet,352.0,477,4.5,508.0,4.5,0
"romancing the balance sheet: for anyone who owns, runs or manages a business",by Anil Lamba,4.5,156.0,9350294311,477,  Anil Lamba,9350294311,romancing the balance sheet,352.0,477,4.5,508.0,4.5,0
"romancing the balance sheet: for anyone who owns, runs or manages a business",by Anil Lamba,4.5,156.0,9350294311,477,  Anil Lamba,9350294311,romancing the balance sheet,352.0,477,4.5,508.0,4.5,0
"romancing the balance sheet: for anyone who owns, runs or manages a business",by Anil Lamba,4.5,156.0,9350294311,477,  Anil Lamba,9350294311,romancing the balance sheet,352.0,477,4.5,508.0,4.5,0
"romancing the balance sheet: for anyone who owns, runs or manages a business",by Anil Lamba,4.5,156.0,9350294311,477,  Anil Lamba,9350294311,romancing the balance sheet,352.0,477,4.5,508.0,4.5,0
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
