amazon_title,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price,flipkart_title,flipkart_stars,flipkart_ratings count,flipkart_isbn10,flipkart_price,predicted_price,adjusted_price
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",4.5,156,9350294311,477, ROMANCING THE BALANCE SHEET,4.5,352,9350294311,477,258.84754908039645,284.7323039884361
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",4.5,156,9350294311,477, ROMANCING THE BALANCE SHEET,4.5,352,9350294311,477,258.84754908039645,284.7323039884361
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",4.5,156,9350294311,477, ROMANCING THE BALANCE SHEET,4.5,352,9350294311,477,258.84754908039645,284.7323039884361
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",4.5,156,9350294311,477, ROMANCING THE BALANCE SHEET,4.5,352,9350294311,477,258.84754908039645,284.7323039884361
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",4.5,156,9350294311,477, ROMANCING THE BALANCE SHEET,4.5,352,9350294311,477,258.84754908039645,284.7323039884361
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",4.5,156,9350294311,477, ROMANCING THE BALANCE SHEET,4.5,352,9350294311,477,258.84754908039645,284.7323039884361
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
Mossad,4.6,637,8184958455,340, Mossad,4.5,560,8184958455,280,242.19709324557675,266.41680257013445
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
